MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
0.0069,BASS1_66307,UNSTIM,10,1,24,5,1,2024-01-31,74.5241537926727,FALSE,cl410,CHARMS-BASS1_66307,SAMPLE,,#A6529A,27,116.229969541723,-41.7058157490499,17295.780533013,0,0.0573755053006856
0.2864,BASS1_66307,UNSTIM,10,1,24,5,1,2024-01-31,3093.29241249586,FALSE,cl410,CHARMS-BASS1_66307,SAMPLE,,#A6529A,27,116.229969541723,2977.06244295414,17295.780533013,0.172126515902057,0.0573755053006856
0.0047,BASS1_66307,UNSTIM,10,1,24,5,1,2024-01-31,50.7628293950089,FALSE,cl410,CHARMS-BASS1_66307,SAMPLE,,#A6529A,27,116.229969541723,-65.4671401467137,17295.780533013,0,0.0573755053006856
1.6554,cl069,STIM,10,1,24,5,1,2024-01-31,17879.3165490421,FALSE,cl069,cl069,CONTROL,,salmon,2,116.229969541723,17763.0865795004,17295.780533013,1.02701850000903,1
1.5476,cl069,STIM,10,1,24,5,1,2024-01-31,16715.0116535566,FALSE,cl069,cl069,CONTROL,,salmon,2,116.229969541723,16598.7816840148,17295.780533013,0.959701220325515,1
1.6334,cl069,STIM,10,1,24,5,1,2024-01-31,17641.7033050654,FALSE,cl069,cl069,CONTROL,,salmon,2,116.229969541723,17525.4733355237,17295.780533013,1.01328027966546,1
0.0415,cl069,UNSTIM,10,1,24,5,1,2024-01-31,448.22498295593,FALSE,cl069,cl069,CONTROL,,salmon,2,116.229969541723,331.995013414207,17295.780533013,0.0191951448956304,0.0267927970553344
0.0828,cl069,UNSTIM,10,1,24,5,1,2024-01-31,894.289845512072,FALSE,cl069,cl069,CONTROL,,salmon,2,116.229969541723,778.059875970349,17295.780533013,0.044985531267886,0.0267927970553344
0.0367,cl069,UNSTIM,10,1,24,5,1,2024-01-31,396.382093361027,FALSE,cl069,cl069,CONTROL,,salmon,2,116.229969541723,280.152123819305,17295.780533013,0.0161977150024869,0.0267927970553344
0.0088,cl204,STIM,10,1,24,5,2,2024-01-31,89.3295835779178,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,116.229969541723,-26.9003859638048,17295.780533013,0,0
0.0091,cl204,STIM,10,1,24,5,2,2024-01-31,92.3749102908013,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,116.229969541723,-23.8550592509212,17295.780533013,0,0
0.01,cl204,STIM,10,1,24,5,2,2024-01-31,101.510890429452,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,116.229969541723,-14.7190791122706,17295.780533013,0,0
0.0097,cl204,UNSTIM,10,1,24,5,2,2024-01-31,98.4655637165685,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,116.229969541723,-17.7644058251541,17295.780533013,0,0.000513547387793418
0.0132,cl204,UNSTIM,10,1,24,5,2,2024-01-31,133.994375366877,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,116.229969541723,17.7644058251541,17295.780533013,0.00102709477558684,0.000513547387793418
